Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
AZADIRACHTIN,AZADIRACHTINE (N.F.),NO,11141-17-6
AZAMETHIPHOS,AZAMÉTHIPHOS (N.M.),YES,35575-96-3
AZINPHOS-METHYL,AZINPHOS-METHYL,NO,86-50-0
AZOXYSTROBIN,AZOXYSTROBINE (N.F.),YES,131860-33-8
B-BROMO-B-NITROSTYRENE,B-BROMO B-NITROSTYROLENE,NO,7166-19-0
B-BUTOXY-B'-THIOCYANODIETHYL ETHER,ETHER B-BUTOXY B'-THIOCYANO DIETHYL (M),NO,112-56-1
BACILLUS AMYLOLIQUEFACIENS STRAIN AP52,BACILLUS AMYLOLIQUEFACIENS SSOUCHE AP52,NO,
BACILLUS AMYLOLIQUEFACIENS STRAIN F727,BACILLUS AMYLOLIQUEFACIENS SOUCHE F727,NO,
BACILLUS AMYLOLIQUEFACIENS STRAIN FZB42,BACILLUS AMYLOLIQUEFACIENS SOUCHE FZB42,NO,
BACILLUS AMYLOLIQUEFACIENS STRAIN MBI600,BACILLUS AMYLOLIQUEFACIENS SOUCHE MBI600,NO,
"BACILLUS AMYLOLIQUEFACIENS, STRAIN D747","BACILLUS AMYLOLIQUEFACIENS, SOUCHE D747",NO,
"BACILLUS AMYLOLIQUEFACIENS, STRAIN PTA-4838","BACILLUS AMYLOLIQUEFACIENS, SOUCHE PTA-4838",NO,
BACILLUS FIRMUS STRAIN I-1582,BACILLUS FIRMUS SOUCHE I-1582,NO,
BACILLUS LICHENIFORMIS DSL 12713,BACILLUS LICHENIFORMIS DSL 12713,NO,
BACILLUS LICHENIFORMIS STRAIN FMCH001,BACILLUS LICHENIFORMIS SOUCHE FMCH001,NO,
BACILLUS MOJAVENSIS ATCC 55732,BACILLUS MOJAVENSIS ATCC 55732,NO,
BACILLUS MOJAVENSIS NRRL B-14698,BACILLUS MOJAVENSIS NRRL B-14698,NO,
BACILLUS MOJAVENSIS NRRL B-14818,BACILLUS MOJAVENSIS NRRL B-14818,NO,
BACILLUS MYCOIDES ISOLATE J,BACILLUS MYCOIDES ISOLAT J,NO,
BACILLUS SIMPLEX STRAIN BU288,BACILLUS SIMPLEX SOUCHE BU288,NO,
BACILLUS SUBTILIS (STRAIN BU 1814),BACILLUS SUBTILIS (SOUCHE BU 1814),NO,
BACILLUS SUBTILIS (STRAIN GB03),BACILLUS SUBTILIS (SOUCHE GB03),NO,
BACILLUS SUBTILIS (STRAIN QST 713),BACILLUS SUBTILIS (SOUCHE QST 713),NO,
BACILLUS SUBTILIS DSL 6051,BACILLUS SUBTILIS DSL 6051,NO,
BACILLUS SUBTILIS STRAIN AFS032321,BACILLUS SUBTILIS SOUCHE AFS032321,NO,
BACILLUS SUBTILIS STRAIN FMCH002,BACILLUS SUBTILIS SOUCHE FMCH002,NO,
BACILLUS SUBTILIS STRAIN RTI477,BACILLUS SUBTILIS SOUCHE RTI477,NO,
BACILLUS SUBTILIS VAR. AMYLOLIQUEFACIENS STRAIN FZB24,BACILLUS SUBTILIS VAR. AMYLOLIQUEFACIENS SOUCHE FZB24,NO,
BACILLUS THURINGIENSIS BERLINER SSP KURSTAKI STRAIN EVB113-19,BACILLUS THURINGIENSIS BERLINER SSP KURSTAKI SOUCHE EVB113-19,NO,
BACILLUS THURINGIENSIS SSP. AIZAWAI STRAIN ABTS-1857,BACILLUS THURINGIENSIS SSP. AIZAWAI SOUCHE ABTS-1857,NO,
BACILLUS THURINGIENSIS SSP. SAN DIEGO,BACILLUS THURINGIENSIS (VAR SAN DIEGO),NO,
BACILLUS THURINGIENSIS SSP. TENEBRIONIS,BACILLUS THURINGIENSIS SSP. TENEBRIONIS,YES,
BACILLUS THURINGIENSIS STRAIN RTI545,BACILLUS THURINGIENSIS SOUCHE RTI545,NO,
"BACILLUS THURINGIENSIS SUBSP. GALLERIAE, STRAIN SDS-502","BACILLUS THURINGIENSIS SOUS-ESPÈCES GALLERIAE, SOUCHE SDS-502",NO,
"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, STRAIN VBTS-2546","BACILLUS THURINGIENSIS SOUS-ESPÈCES KURSTAKI, SOUCHE VBTS-2546",NO,
BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI (ALL STRAINS),BACILLUS THURINGIENSIS VAR KURSTAKI,YES,
"BACILLUS THURINGIENSIS VAR.
ISRAELENSIS

","BACILLUS THURINGIENSIS VAR.
ISRAELENSIS

",NO,
"BACILLUS THURINGIENSIS, SEROTYPE H-14","BACILLUS THURINGIENSIS, SÉROTYPE H-14",YES,
BACILLUS VELEZENSIS CNPSO 3602,BACILLUS VELEZENSIS CNPSO 3602,NO,
BACILLUS VELEZENSIS STRAIN RTI301,BACILLUS VELEZENSIS SOUCHE RTI301,NO,
BACULOVIRUS OF BLACKHEADED FIREWORM RHOPOBOTA NAEVANA BETABACULOVIRUS,"BACULOVIRUS DU VER DE FEU À TÊTE NOIRE, RHOPOBOTA NAEVANA BETABACULOVIRUS",NO,
BARIUM METABORATE MONOHYDRATE,METABORATE DE BARIUM MONOHYDRATE,NO,13701-59-2
"BEAUVERIA BASSIANA ATCC 74040
","BEAUVERIA BASSIANA ATCC 74040
",NO,
BEAUVERIA BASSIANA STRAIN ANT 03,BEAUVERIA BASSIANA SOUCHE ANT 03,NO,
BEAUVERIA BASSIANA STRAIN BW149,BEAUVERIA BASSIANA SOUCHE BW149,NO,
BEAUVERIA BASSIANA STRAIN CFL-A,BEAUVERIA BASSIANA SOUCHE CFL-A,NO,
BEAUVERIA BASSIANA STRAIN GHA,BEAUVERIA BASSIANA SOUCHE GHA,YES,
BEAUVERIA BASSIANA STRAIN HF23,BEAUVERIA BASSIANA SOUCHE HF23,YES,
BEAUVERIA BASSIANA STRAIN PPRI 5339,BEAUVERIA BASSIANA SOUCHE PPRI 5339,NO,
BEAUVERIA BASSIANA STRAIN R444,BEAUVERIA BASSIANA SOUCHE R444,NO,
BENAZOLIN PRESENT AS DIMETHYLAMINE SALT,"BENAZOLINE (F), PRESENT SOUS FORME DE SEL DE DIMETHYLAMINE",NO,3813-05-6
BENDIOCARB,BENDIOCARBE,NO,22781-23-3
BENOMYL,BENOMYL (M),NO,17804-35-2
BENSULIDE,BENSULIDE (N.M.),YES,741-58-2
BENTAZON,BENTAZONE (N.F.),YES,25057-89-0
BENTAZON (PRESENT AS SODIUM SALT),BENTAZONE (N.F.) (PRÉSENT SOUS FORME DE SEL DE SODIUM),YES,50723-80-3
"BENTHIAVALICARB-ISOPROPYL
","BENTHIAVALICARBE-ISOPROPYL
",NO,177406-68-7
BENZODODECINIUM BROMIDE,BROMURE DE BENZODODÉCINIUM (N.M.),NO,7281-04-1
BENZOIC ACID,ACIDE BENZOÏQUE (M),NO,65-85-0
BENZOVINDIFLUPYR,BENZOVINDIFLUPYR (N.M.),NO,1072957-71-1
BENZOYLPROP-ETHYL,BENZOYLPROP-ÉTHYLE (M),NO,33878-50-1
BENZYL BENZOATE,BENZOATE DE BENZYLE (N.M.),NO,120-51-4
BENZYL BROMOACETATE,BROMOACETATE DE BENZYLE (M),NO,5437-45-6
BETA-CYFLUTHRIN,BÊTA-CYFLUTHRINE (N.F.),NO,68359-37-5
BICYCLOPYRONE,BICYCLOPYRONE (N.M.),NO,352010-68-5
BIFENAZATE,BIFÉNAZATE (N.M.),YES,149877-41-8
BIFENTHRIN,BIFENTHRINE,NO,82657-04-3
BIS(TRICHLOROMETHYL)SULFONE,SULFONE BIS(TRICHLOROMETHYL),NO,3064-70-8
BISPYRIBAC-SODIUM,BISPYRIBAC-SODIUM (N.M.),YES,125401-92-5
BIXAFEN,BIXAFÈNE (N.M.),NO,581809-46-3
BLAD POLYPEPTIDE,BLAD POLYPEPTIDE,NO,
"BLEND OF OILS: OF LEMONGRASS, OF CITRONELLA, OF ORANGE, OF BERGAMOT; GERANIOL, IONONE ALPHA, METHYL SALICYLATE AND ALLYLISOTHIOCYANATE","MELANGE D'ESSENCES: DE LEMONGRASS, DE CITRONELLE, D'ORANGE, DE BERGAMOTE; GERANIOL, IONONE ALPHA, SALICYLATE DE METHYLE ET ALLYLISOTHIOCYANATE",NO,
BONE OIL,HUILE D'OS (N.F.),NO,8001-85-2
BORAX,BORAX (N.M.),NO,1303-96-4
BORAX PENTAHYDRATE,BORAX PENTAHYDRATÉ (N.M.),NO,11130-12-4
"BORAX, ANHYDROUS","BORAX, ANHYDRE",NO,1330-43-4
BORIC ACID,ACIDE BORIQUE (N.M.),NO,10043-35-3
"BORIC ACID (H3BO3), POLYMER WITH N-DECYL-1-DECANAMINE, OXIRANE AND 1,2-PROPANEDIOL","BORIC ACID (H3BO3), POLYMER WITH N-DECYL-1-DECANAMINE, OXIRANE AND 1,2-PROPANEDIOL",NO,214710-34-6
BORON EQUIVALENT,ÉQUIVALENT EN BORE (N.M.),NO,
BOSCALID,BOSCALIDE (N.M.),YES,188425-85-6
BRASSICA HIRTA WHITE MUSTARD SEED POWDER,POUDRE DE GRAINE DE MOUTARDE BLANCHE (BRASSICA HIRTA) (N.F.),NO,
BRODIFACOUM,BRODIFACOUM (N.M.),YES,56073-10-0
BROFLANILIDE,BROFLANILIDE (N.M.),NO,1207727-04-5
"BROMACIL (PRESENT IN FREE FORM, AS DIMETHYLAMINE SALT, OR AS LITHIUM SALT)","BROMACIL (N.M.) (PRÉSENT SOUS FORME DE BROMACIL, DE SEL DE DIMÉTHYLAMINE OU DE SEL DE LITHIUM)",YES,314-40-9
BROMADIOLONE,BROMADIOLONE (N.F.),YES,28772-56-7
BROMETHALIN,BROMÉTHALINE (N.F.),YES,63333-35-7
BROMOXYNIL,BROMOXYNIL (N.M.),YES,
BRONOPOL,BRONOPOL (N.M.),YES,52-51-7
BUPROFEZIN,BUPROFÉZIN (N.F.),NO,953030-84-7
BURKHOLDERIA SP STRAIN A396 CELLS AND SPENT FERMENTATION MEDIA,BURKHOLDERIA SP STRAIN A396 CELLS AND SPENT FERMENTATION MEDIA,NO,
BUTOXYPOLYPROPOXYPOLYETHOXYETHANOL - IODINE COMPLEX,COMPLEX IODE DE BUTOXYPOLYPROPOXYPOLYETHOXYETHANOL,NO,68610-00-4
BUTOXYPOLYPROPYLENE GLYCOL,ÉTHER MONOBUTYLIQUE DU POLYPROPYLÈNE GLYCOL,NO,9003-13-8
BUTYLATE,BUTILATE (M),NO,2008-41-5
C. ROSEA STRAIN 321U,C. ROSEA STRAIN 321U,NO,
C12-C16- ALKYLDIMETHYLAMINE OXIDES AND RELATED AMINE OXIDES,C12-C16- ALKYLDIMÉTHYLAMINO-OXYDES ET LES DÉRIVÉS D'OXYDES,NO,85408-49-7
CALCIUM ACETATE,ACÉTATE DE CALCIUM,NO,62-54-4
CALCIUM DISODIUM EDTA HYDRATE,EDTA DE CALCIUM ET DE DISODIUM HYDRATÉ,NO,23411-34-9
CALCIUM HYPOCHLORITE,HYPOCHLORITE DE CALCIUM,NO,7778-54-3
CALCIUM POLYSULFIDE,POLYSULFURE DE CALCIUM (N.M.),YES,1344-81-6
CAMPHOR OIL,HUILE DE CAMPHRE (N.F.),NO,8008-51-3
CANDIDA OLEOPHILA STRAIN O,CANDIDA OLEOPHILA  SOUCHE O,NO,
CANOLA FLEA BEETLE T57336 DOUBLE STRANDED RNA,CANOLA FLEA BEETLE T57336 DOUBLE STRANDED RNA,NO,
CANOLA OIL,HUILE DE CANOLA (N.F.),NO,120962-03-0
CAPRIC ACID,ACIDE CAPRIQUE (N.M.),NO,334-48-5
CAPROIC ACID,ACIDE CAPROÏQUE,NO,142-62-1
CAPRYLIC ACID,ACIDE CAPRYILIQUE (N.M.),NO,124-07-2
CAPSAICIN,CAPSAÏCINE (N.F.),NO,404-86-4
CAPTAN,CAPTANE (N.M.),NO,133-06-2
CARBARYL,CARBARYL (N.M.),YES,63-25-2
CARBATHIIN,CARBATHIINE,YES,5234-68-4
CARBENDAZIM,CARBENDAZIME (N.M.),YES,10605-21-7
CARBENDAZIM-PHOSPHATE,PHOSPHURE DE CARBENDAZIME (M),NO,52316-55-9
CARBOFURAN,CARBOFURAN,NO,1563-66-2
CARBON DIOXIDE GAS,DIOXYDE DE CARBONE GAZEUX (N.M.),NO,124-38-9
CARFENTRAZONE-ETHYL,CARFENTRAZONE-ÉTHYLE,YES,128639-02-1
CASTOR OIL,HUILE DE RICIN (N.F.),NO,8001-79-4
CEDAR LEAF OIL,HUILE DE FEUILLES DE CEDRE (N.F.),NO,8007-20-3
CEDARWOOD OIL,HUILE DE BOIS DE CÈDRE (N.F.),NO,8000-27-9
CEDARWOOD OIL (JUNIPERUS MEXICANA EXTRACT),HUILE DE BOIS DE CÈDRE (EXTRAIT DE JUNIPERUS MEXICANA) (N.F.),NO,91722-61-1
CELLULOSE (FROM POWDERED CORN COBS),CELLULOSE PROVENANT DE TROGNONS DE MAÏS EN POUDRE,NO,9004-34-6
CHINOMETHIONAT,CHINOMETHIONATE (M),NO,2439-01-2
CHITOSAN,CHITOSAN,NO,9012-76-4
CHLORAMBEN PRESENT AS AMMONIUM SALT OR AS SODIUM SALT,"CHLORAMBENE (M), PRESENT SOUS FORME DE SEL D'AMMONIUM OU DE SEL DE SODIUM",NO,
CHLORANTRANILIPROLE,CHLORANTRANILIPROLE (N.M.),YES,500008-45-7
CHLORDANE,CHLORDANE (M) (TECHNIQUE),NO,57-74-9
CHLORDECONE,CHLORDECONE (M),NO,143-50-0
CHLORFENAPYR,CHLORFÉNAPYR (N.M.),NO,122453-73-0
CHLORFENVINPHOS,CHLORFENVINPHOS (M),NO,2701-86-2
CHLORFLURECOL-METHYL,CHLORFLURECOL-MÉTHYLE (M),NO,2536-31-4
CHLORIMURON-ETHYL,CHLORIMURON-ÉTHYLE (N.M.),NO,90982-32-4
CHLORITE [MINERAL],CHORITES [MINÉRAUX],NO,1318-59-8
CHLORMEQUAT CHLORIDE,CHLORMÉQUAT-CHLORURE (N.M.),YES,999-81-5
CHLOROACETAMIDE,CHLOROACETAMIDE,NO,79-07-2
CHLOROBENZILATE,CHLOROBENZILATE (M),NO,510-15-6
CHLORONEB,CHLORONEBE,NO,2675-77-6
CHLOROPHACINONE,CHLOROPHACINONE (N.F.),YES,3691-35-8
CHLOROPICRIN,CHLOROPICRINE (N.F.),NO,76-06-2
CHLOROTHALONIL,CHLOROTHALONIL (N.M.),YES,1897-45-6
CHLORPROPHAM,CHLORPROPHAME (N.M.),YES,101-21-3
CHLORPYRIFOS,CHLORPYRIFOS,YES,2921-88-2
CHLORSULFURON,CHLORSULFURON (N.M.),YES,64902-72-3
CHLORTHAL (PRESENT AS DIMETHYL ESTER),"CHLORTHAL (M), PRESENT SOUS FORME D'ESTER DE DIMÉTHYLE",NO,1861-32-1
CHOLECALCIFEROL,CHOLECALCIFEROL,NO,67-97-0
CHONDROSTEREUM PURPUREUM (STRAIN: HQ1):CHONDROSTEREUM PURPUREUM (STRAIN: NORTH AMERICAN; PATHOVAR: PFC2139),CHONDROSTEREUM PURPUREUM (STRAIN: HQ1),NO,
CHONDROSTEREUM PURPUREUM STRAIN PFC2139,CHONDROSTEREUM PURPUREUM SOUCHE PFC2139,NO,
CHROMIC ACID,ACIDE CHROMIQUE (N.M.),NO,7738-94-5
CHROMOBACTERIUM SUBTSUGAE STRAIN PRAA4-IT CELLS AND SPENT FERMENTATION MEDIA,CHROMOBACTERIUM SUBTSUGAE STRAIN PRAA4-IT CELLS AND SPENT FERMENTATION MEDIA,NO,
CIS-JASMONE,CIS-JASMONE,NO,488-10-8
CITRIC ACID,ACIDE CITRIQUE (M),NO,77-92-9
CITRONELLA OIL,HUILE DE CITRONNELLE (N.F.),NO,8000-29-1
CITRONELLA TERPENE,TERPÈNE DE CITRONELLE,NO,
CITRONELLAL,CITRONELLAL,NO,
CLAVIBACTER MICHIGANENSIS (SPP MICHIGANENSIS) BACTERIOPHAGE,BACTERIOPHAGE DE CLAVIBACTER MICHIGANENSIS (SPP MICHIGANENSIS),NO,
CLETHODIM,CLÉTHODIME (N.M.),NO,99129-21-2
CLODINAFOP-PROPARGYL,CLODINAFOP-PROPARGYL (N.M.),NO,105512-06-9
CLOFENTEZINE,CLOFENTÉZINE (N.F.),NO,74115-24-5
CLOMAZONE,CLOMAZONE (N.F.),YES,81777-89-1
CLONOSTACHYS ROSEA (STRAIN ACM941),CLONOSTACHYS ROSEA (SOUCHE ACM941),NO,
CLONOSTACHYS ROSEA STRAIN 88-710,CLONOSTACHYS ROSEA SOUCHE 88-710,NO,
CLONOSTACHYS ROSEA STRAIN CR-7,CLONOSTACHYS ROSEA SOUCHE CR-7,NO,
CLONOSTACHYS ROSEA STRAIN J1446,CLONOSTACHYS ROSEA SOUCHE J1446,YES,
"CLOPYRALID (PRESENT AS ACID, OR AS SALTS)","CLOPYRALID (N.M.) (PRÉSENT SOUS FORME D'ACIDE, OU DES SELS)",NO,1702-17-6
CLOQUINTOCET-MEXYL,CLOQUINTOCET-MEXYL (N.M.),NO,99607-70-2
CLORANSULAM-METHYL,CLORANSULAME-MÉTHYLE (N.M.),YES,147150-35-4
CLOTHIANIDIN,CLOTHIANIDINE (N.F.),YES,210880-92-5
CLOVE,CLOUS DE GIROFLE,NO,
CLOVE OIL,HUILE DE CLOUS DE GIROFLE (N.F.),NO,8000-34-8
COAL TAR ACIDS,ACIDES DE GOUDRON DE HOUILLE (M),NO,108-95-2
COAL TAR OILS,HUILES DE GOUDRON DE HOUILLE (N.F.),NO,8001-58-9
CODLELURE,CODLÉLURE (N.M.),NO,33956-49-9
COLD PRESSED ORANGE OIL,HUILE D'ORANGE PRESSÉE À FROID (N.F.),NO,8008-57-9
COLLETOTRICHUM GLOEOSPORIOIDES F.SP. MALVAE,COLLETOTRICHUM GLOEOSPORIOIDES F. SP. MALVAE,NO,
COLORADO POTATO BEETLE LDS001.1 DOUBLE STRANDED RNA,COLORADO POTATO BEETLE LDS001.1 DOUBLE STRANDED RNA,NO,
COLORADO POTATO BEETLE LDS012.1 DOUBLE STRANDED RNA,COLORADO POTATO BEETLE LDS012.1 DOUBLE STRANDED RNA,NO,
CONCENTRATED APPLE JUICE,JUS DE POMME CONCENTRÉ,NO,
CONIOTHYRIUM MINITANS STRAIN CON/M/91-08,CONIOTHYRIUM MINITANS SOUCHE CON/M/91-08,YES,
COPPER (PRESENT AS BASIC COPPER CARBONATE),"CUIVRE (N.M.), (PRÉSENT SOUS FORME DE CARBONATE DE CUIVRE BASIQUE)",NO,12069-69-1
COPPER (PRESENT AS BASIC COPPER SULFATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE SULFATE DE CUIVRE TRIBASIQUE),NO,1344-73-6
COPPER (PRESENT AS COPPER 8-QUINOLINOLATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE 8-QUINOLINOLATE CUIVRIQUE),NO,10380-28-6
COPPER (PRESENT AS COPPER 8-QUINOLINOLATE),CUIVRE (PRÉSENT SOUS FORME DE QUINOLINOLATE-8 CUIVRIQUE),NO,10380-28-6
COPPER (PRESENT AS COPPER : NICKEL : MANGANESE : IRON ALLOY),CUIVRE (PRESENT SOUS FORME D'ALLIAGE DE CUIVRE:NICKEL:MANGANÈSE:FER),NO,
COPPER (PRESENT AS COPPER HYDROXIDE),CUIVRE (N.M.) PRÉSENT SOUS FORME DE HYDROXYDE DE CUIVRE),NO,20427-59-2
COPPER (PRESENT AS COPPER NAPHTHENATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE NAPHTÉNATE DE CUIVRE),NO,1338-02-9
COPPER (PRESENT AS COPPER OCTANOATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME D'OCTANOATE DE CUIVRE),NO,20543-04-8
COPPER (PRESENT AS COPPER OXYCHLORIDE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE OXYCHLORURE DE CUIVRE),NO,1332-40-7
COPPER (PRESENT AS COPPER SULFATE PENTAHYDRATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE SULFATE DE CUIVRE PENTAHYDRATÉ),NO,7758-99-8
COPPER (PRESENT AS CUPRIC AMMONIUM FORMATE AND TANNATE COMPLEX),CUIVRE (N.M.) (PRÉSENT SOUS FORME D'UN COMPLEXE DE FORMATE ET DE TANNATE D'AMMONIUM CUPRIQUE),NO,
COPPER (PRESENT AS CUPRIC OXIDE),CUIVRE (N.M.) (PRÉSENT SOUS FORME D'OXYDE CUIVRIQUE),NO,1317-38-0
COPPER (PRESENT AS CUPROUS OXIDE),CUIVRE (N.M.) (PRÉSENT SOUS FORME D'OXYDE CUIVREUX),NO,1317-39-1
"COPPER (PRESENT AS CUPROUS OXIDE, CUPRIC OXIDE AND METALLIC COPPER)","CUIVRE (N.M.) (PRÉSENT SOUS FORME D'OXYDE CUIVREUX, D'OXYDE CUIVRIQUE ET DE CUIVRE MÉTALLIQUE)",NO,
COPPER (PRESENT AS CUPROUS THIOCYANATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE THIOCYANATE DE CUIVRE),NO,1111-67-7
COPPER (PRESENT AS MIXED COPPER ETHANOLAMINE COMPLEXES OR AS BIS(2-ANIMOETHANOLATE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE MÉLANGE DE COMPLEXES D'ÉTHANOLAMINES DE CUIVRE),NO,14215-52-2
COPPER (PRESENT AS PICRO CUPRIC AMMONIUM FORMATE AND TANNATE COMPLEX),CUIVRE (PRÉSENT SOUS FORME D'UN COMPLEXE DE FORMATE ET DE TANNATE D'AMMONIUM PICRO CUPRIQUE),NO,
COPPER (PRESENT AS SILVER COPPER ZEOLITE),CUIVRE (N.M.) (PRÉSENT SOUS FORME DE ZÉOLITE EN CUIVRE ARGENTÉE),NO,130328-19-7
"COPPER AS ELEMENTAL, PRESENT AS COPPER TRIETHANOLAMINE COMPLEX","CUIVRE ELEMENTAIRE, PRESENT SOUS FORME DE COMPLEXE TRIETHANOLAMINE DE CUIVRE",NO,7440-50-8
COPPER PYRITHIONE,COPPER PYRITHIONE,NO,14915-37-8
"COPPER, METALLIC",CUIVRE MÉTALLIQUE (N.M.),NO,7440-50-8
CORN GLUTEN MEAL,FARINE DE GLUTEN DE MAÏS (N.F.),NO,66071-96-3
CORNMINT OIL,ESSENCE DE MENTHE DES CHAMPS (N.F.),NO,68917-18-0
COUMAPHOS,COUMAPHOS,NO,56-72-4
CPBMESH DSRNA,CPBMESH DSRNA,NO,
CREOSOTE,CRÉOSOTE (N.F.),NO,8001-58-9
"CRESYLIC ACID (OR: PHENOLIC HOMOLOGUES; A MIXTURE OF CRESOLS, XYLENOLS, ETHYL PHENOLS AND HIGHER MOLECULAR WEIGHT PHENOLS)","ACIDE CRESYLIQUE (M) (OU: HOMOLOGUES PHENOLIQUES; MELANGE DE CRESOLS, XYLENOLS, ETHYL PHENOLS ET PHENOLS DE POIDS MOLECULAIRES PLUS ELEVES)",NO,
CROTOXYPHOS,CROTOXYPHOS (M),NO,7700-17-6
CRUFOMATE,CRUFOMATE (M),NO,299-86-5
CUPRIC OXIDE,OXYDE CUPRIQUE (N.M.),NO,1317-38-0
CYANAZINE,CYANAZINE (F),NO,21725-46-2
CYANOGEN,CYANOGÈNE,NO,460-19-5
CYANTRANILIPROLE,CYANTRANILIPROLE (N.M.),NO,736994-63-1
CYAZOFAMID,CYAZOFAMIDE (N.M.),YES,120116-88-3
CYCLANILIPROLE,CYCLANILIPROLE (N.M.),NO,1031756-98-5
CYCLOATE,CYCLOATE (M),NO,1134-23-2
CYCLOBUTRIFLURAM,CYCLOBUTRIFLURAME (N.M.),NO,1460292-16-3
CYCLOHEXIMIDE,CYCLOHEXIMIDE (M),NO,66-81-9
CYDIA POMONELLA GRANULOVIRUS (STRAIN M),VIRUS DE LA GRANULOSE DE CYDIA POMONELLA  (SOUCHE M),NO,
CYDIA POMONELLA GRANULOVIRUS ISOLATE V-22,CYDIA POMONELLA GRANULOVIRUS ISOLATE V-22,NO,
CYDIA POMONELLA GRANULOVIRUS STRAIN CMGV4,SOUCHE DE GRANULOVIRUS DE CYDIA POMONELLA CMGV4,NO,
CYFLUFENAMID,CYFLUFÉNAMIDE,NO,180409-60-3
CYFLUMETOFEN,CYFLUMÉTOFEN (N.M.),NO,400882-07-7
CYFLUTHRIN,CYFLUTHRINE (N.F.),NO,68359-37-5
CYMOXANIL,CYMOXANIL (N.M.),NO,57966-95-7
CYPERMETHRIN,CYPERMÉTHRINE (N.F.),NO,52315-07-8
CYPHENOTHRIN,CYPHÉNOTHRINE (N.F.),NO,39515-40-7
CYPRODINIL,CYPRODINIL (N.M.),YES,121552-61-2
CYPROSULFAMIDE,CYPROSULFAMIDE (N.M.),YES,221667-31-8
CYROMAZINE,CYROMAZINE (N.F.),NO,66215-27-8
"D-CIS,TRANS-ALLETHRIN","D-CIS,TRANS-ALLÉTHRINE",YES,231937-89-6
D-LIMONENE,D-LIMONÈNE (N.M.),NO,5989-27-5
D-PHENOTHRIN,D-PHÉNOTHRINE (N.F.),NO,
D-TRANS-ALLETHRIN,D-TRANS-ALLÉTHRINE,NO,584-79-2
DALAPON,DALAPON (M),NO,75-99-0
DAMINOZIDE,DAMINOZIDE (N.M.),YES,1596-84-5
DAZOMET,DAZOMET (N.M.),NO,533-74-4
DBCP,DBCP (N.M.),NO,96-12-8
DDT,DDT (M),NO,50-29-3
DECYL ISONONYL DIMETHYL AMMONIUM CHLORIDE,CHLORURE DE DÉCYLISONONYLDIMÉTHYLAMMONIUM,NO,
DEET PLUS RELATED ACTIVE TOLUAMIDES,DEET PLUS TOLUAMIDES ACTIFS APPARENTÉS,YES,134-62-3
DEHYDRATED APPLE POWDER,POUDRE DE POMME DÉSHYDRATÉE,NO,
DEHYDROABIETYLAMINE ACETATE,ACETATE DE DESHYDROABIETYLAMINE (M),NO,2026-24-6
DEHYDROABIETYLAMINE ETHYLENE OXIDE,OXYDE D'ÉTHYLENE ET DE DESHYDROABIETYLAMINE (M),NO,51344-62-8
DELTAMETHRIN,DELTAMÉTHRINE (N.F.),NO,52918-63-5
DEMETON-S,DÉMÉTON-S (N.M.),NO,126-75-0
DENATONIUM BENZOATE,BENZOATE DE DÉNATONIUM (N.M.),NO,3734-33-6
DENATURED ETHANOL,ÉTHANOL DÉNATURÉ (N.M.),NO,64-17-5
DESMEDIPHAM,DESMÉDIPHAME (N.M.),NO,13684-56-5
"DEVICE (SWIMMING POOL ALGAECIDE, COPPER GENERATING) NO GUARANTEE REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, COPPER GENERATING) NO GUARANTEE REQUIRED",NO,
"DEVICE (SWIMMING POOL ALGAECIDE, PEROXIDE) NO GUARANTEE REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, PEROXIDE) NO GUARANTEE REQUIRED",NO,
"DEVICE (SWIMMING POOL ALGAECIDE, SALT IN DEVICE) NO GUARANTEE  REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, SALT IN DEVICE) NO GUARANTEE  REQUIRED",NO,
"DEVICE (SWIMMING POOL ALGAECIDE, SALT IN POOL) NO GUARANTEE    REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, SALT IN POOL) NO GUARANTEE    REQUIRED",NO,
"DEVICE (SWIMMING POOL ALGAECIDE, ULTRA VIOLET) NO GUARANTEE REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, ULTRA VIOLET) NO GUARANTEE REQUIRED",NO,
"DEVICE (SWIMMING POOL ALGAECIDE, ZINC) NO GUARANTEE REQUIRED","DEVICE (SWIMMING POOL ALGAECIDE, ZINC) NO GUARANTEE REQUIRED",NO,
