Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
"1-BROMO-3-CHLORO-5,5-DIMETHYLHYDANTOIN AND RELATED HYDANTOINS","1-BROMO-3-CHLORO-5,5-DIMÉTHYLHYDANTOÏNE ET HYDANTOÏNE RELIÉES",NO,16079-88-2
1-DODECANOL,1-DODÉCANOL (N.M.),NO,112-53-8
1-METHYLCYCLOPROPENE,1-MÉTHYLCYCLOPROPÈNE (N.M.),NO,3100-04-7
1-OCTANOL,1-OCTANOL,YES,111-87-5
1-TETRADECANOL,1-TÉTRADÉCANOL (N.M.),NO,112-72-1
"10,10'-OXYBIS(PHENOXARSINE)","OXY-10,10' BIS-PHÉNOXARSINE (N.M.)",YES,58-36-6
1703-DSRNA,1703-DSRNA,NO,
1R-TRANS PRALLETHRIN,1R-TRANS PRALLÉTHRINE (N.F.),NO,23031-36-9
"2,2'-(1-METHYLTRIMETHYLENEDIOXY)BIS-(4-METHYL-1,3,2-DIOXABORINANE)","2,2'-(1-MÉTHYLTRIMÉTHYLÈNEDIOXY)BIS-(4-MÉTHYL-1,3,2-DIOXABORINANE",YES,2665-13-6
"2,2-DIBROMO-3-NITRILOPROPIONAMIDE","2,2-DIBROMO-3-NITRILOPROPIONAMIDE",YES,10222-01-2
"2,2-DIMETHYL-6-CARBOBUTOXY-2,3-DIHYDRO-4-PYRONE","DIMETHYL-2,2 CARBOBUTOXY-6 DIHYDRO-2,3 PYRONE-4 (M)",NO,532-34-3
"2,2-OXYBIS(4,4,6-TRIMETHYL-1,3,2-DIOXABORINANE)","OXY-2,2' BIS(TRIMETHYL-4,4,6 DIOXABORINANE-1,3,2)",YES,14697-50-8
"2,3,4,5-BIS(2-BUTYLENE)TETRAHYDRO-2-FURFURAL","BIS(BUTYLENE-2)TETRAHYDRO-2,3,4,5 FURFURAL-2",NO,136-45-8
"2,3,5-TRIIODOBENZOIC ACID","ACIDE 2,3,5-TRIIODOBENZOÏQUE (M)",NO,88-82-4
"2,4,5-T PRESENT AS MIXED BUTYL ESTERS","2,4,5-T (M), PRESENT SOUS FORME D'ESTERS DE BUTYLE MELANGES",NO,
"2,4-D (PRESENT AS ACID)","2,4-D (N.M.) (PRÉSENT SOUS FORME D'ACIDE)",YES,94-75-7
